company_name,website,contact_email,industry,revenue
TechCorp,https://techcorp.com,info@techcorp.com,Technology,5000000
GreenEnergy,https://greenenergy.com,contact@greenenergy.com,Energy,7500000
HealthNow,https://healthnow.com,support@healthnow.com,Healthcare,3000000
DataWave,https://datawave.io,sales@datawave.io,Software,12000000
EcoBuild,https://ecobuild.net,info@ecobuild.net,Construction,9000000
MedTech,https://medtechsolutions.com,contact@medtechsolutions.com,Healthcare,4500000
SmartLogistics,https://smartlogistics.co,support@smartlogistics.co,Logistics,15000000
FinServe,https://finserve.com,info@finserve.com,Financial Services,8000000
AgriTech,https://agritechinnovations.com,sales@agritechinnovations.com,Agriculture,6000000
CleanTech,https://cleantechenergy.com,contact@cleantechenergy.com,Energy,11000000
BioHealth,https://biohealth.com,info@biohealth.com,Healthcare,7000000
RoboTech,https://robotech.ai,sales@robotech.ai,Technology,9500000
SolarPeak,https://solarpeak.com,contact@solarpeak.com,Energy,4000000
FoodChain,https://foodchain.com,support@foodchain.com,Food Services,8500000
AutoSys,https://autosys.net,info@autosys.net,Manufacturing,13000000
